image_id,healthy,multiple_diseases,rust,scab
Test_0,1.0927402627203264e-07,0.0024561677128076553,0.9975429773330688,7.958665833029954e-07
Test_1,7.028865267599826e-10,5.552636253014498e-07,0.9999990463256836,3.1422786150869797e-07
Test_2,1.1691991819162695e-10,2.1422620193334296e-06,3.0271372075674208e-09,0.9999978542327881
Test_3,0.999990701675415,7.052202377622052e-09,9.760569952277365e-08,9.155043699138332e-06
Test_4,9.31633134353127e-13,1.6560252333874814e-06,0.9999983310699463,3.1428562863311527e-08
Test_5,0.9863778352737427,1.0897728316194844e-05,0.002198629081249237,0.011412627063691616
Test_6,0.9999969005584717,4.060246183712479e-08,1.4001212775838212e-06,1.6976920278466423e-06
Test_7,1.6482412223267628e-12,1.4225943232304417e-05,3.2327523991071416e-10,0.9999858140945435
Test_8,6.563757324329345e-07,0.947776198387146,3.7347710986068705e-06,0.052219416946172714
Test_9,6.449690115317708e-09,9.670550934970379e-05,0.9999009370803833,2.365308318985626e-06
Test_10,3.1064857353158004e-07,0.0003926395147573203,0.9996065497398376,4.4404072241377435e-07
Test_11,0.9999492168426514,1.0105575931618205e-08,4.859819819102995e-05,2.191872454204713e-06
Test_12,0.0013056379975751042,0.13682545721530914,1.4307028095572605e-06,0.8618674874305725
Test_13,0.9999794960021973,6.0164466049172916e-06,3.858298214254319e-07,1.4115430531091988e-05
Test_14,2.4113206223419503e-11,2.3485898736907984e-07,0.9999997615814209,3.545180538022663e-10
Test_15,1.6747067732580945e-08,7.000484192332124e-09,1.0,8.958324360097691e-11
Test_16,0.9993597865104675,4.610937139659654e-06,0.00020474320626817644,0.00043081113835796714
Test_17,3.2545533031225204e-05,0.42954689264297485,0.006036634556949139,0.5643839240074158
Test_18,0.04627310484647751,0.00984182208776474,0.00015199567133095115,0.9437330365180969
Test_19,1.4078242694878784e-12,9.855295957095223e-07,0.9999990463256836,5.776058298323505e-09
Test_20,1.5125757313327881e-09,3.694970018841559e-06,4.160955668908173e-08,0.9999963045120239
Test_21,0.9973320960998535,0.0017991301137953997,1.2145726032031234e-05,0.0008565527386963367
Test_22,1.1185079529241193e-08,0.0012073583202436566,0.9987917542457581,9.79407673185051e-07
Test_23,1.853961775766244e-11,1.0084220036787883e-07,3.342239818238113e-09,0.9999998807907104
Test_24,0.9999973773956299,6.755951176273811e-07,7.71609734329104e-07,1.1554360526133678e-06
Test_25,9.96387916529784e-06,1.2532868822745513e-05,6.752314618552191e-08,0.9999773502349854
Test_26,0.0030391940381377935,0.05065538361668587,0.14074747264385223,0.805557906627655
Test_27,4.4570098479967957e-13,1.1060767519666115e-06,0.999998927116394,7.304415960973643e-10
Test_28,0.9999991655349731,4.250027814123314e-07,4.750712268020152e-09,3.383451314675767e-07
Test_29,1.56548435370496e-06,0.10212282091379166,0.8964523077011108,0.0014233813853934407
Test_30,0.9999971389770508,2.8635665216825146e-07,5.134515959070995e-07,2.0512754872470396e-06
Test_31,6.895380920468597e-06,0.10854100435972214,0.8914471864700317,4.907562015432632e-06
Test_32,9.645289537729695e-06,1.464906972614699e-06,0.00017688277876004577,0.9998120665550232
Test_33,9.255778782302215e-11,4.158346200711094e-07,1.978746499986528e-09,0.9999996423721313
Test_34,6.36904140538519e-11,0.001146795111708343,4.155793043025824e-09,0.9988532066345215
Test_35,1.2169762975133835e-09,6.009909338899888e-05,2.1246629344773282e-08,0.9999399185180664
Test_36,2.2552142445175782e-12,3.7285587950464105e-07,0.9999996423721313,2.357626316396022e-09
Test_37,1.2707640053122304e-05,0.00014652367099188268,2.879399687572004e-07,0.999840497970581
Test_38,3.1995531224460194e-10,8.639527550258208e-06,2.615050576082467e-08,0.9999914169311523
Test_39,2.3480847664457058e-14,1.0924099846931767e-08,1.0,8.533822259959578e-11
Test_40,9.91157671181151e-18,1.0572043240841822e-11,1.0,8.900776708557767e-14
Test_41,3.1621381047338337e-16,8.0060423568451e-11,1.0,2.9648484188571356e-12
Test_42,1.2043756214552559e-08,2.7875625164597295e-05,6.390830087354971e-09,0.9999721050262451
Test_43,0.02500111237168312,0.00010996454511769116,0.974886417388916,2.6022339625342283e-06
Test_44,0.00014950914192013443,0.994531512260437,0.0009605334489606321,0.004358387552201748
Test_45,2.8543565349536948e-05,0.24933739006519318,0.0012265319237485528,0.7494075894355774
Test_46,0.7465549111366272,0.07060171663761139,0.0016421325271949172,0.18120123445987701
Test_47,1.5674106110252772e-11,9.41514917940367e-06,0.9999905824661255,1.8373237375968188e-09
Test_48,2.1975734491690158e-14,8.329218559310902e-08,0.9999998807907104,8.376076915395103e-11
Test_49,4.992138599474883e-15,1.2174684871357755e-11,1.0,3.51482406547865e-13
Test_50,6.612856014729177e-14,2.7204231756172703e-08,1.0,1.4872388043318807e-11
Test_51,2.3813991143623037e-13,5.494509291992244e-10,1.0,8.949660457169273e-12
Test_52,9.554759117236244e-08,2.3070513179845875e-06,0.999997615814209,1.3194125791926581e-08
Test_53,1.6026696636473048e-10,1.1089294815747053e-08,1.0,2.8876472393801755e-11
Test_54,0.006864343304187059,0.9444631934165955,0.0044108727015554905,0.04426155984401703
Test_55,3.190937736263777e-09,0.0004756406997330487,2.762212680806897e-08,0.9995243549346924
Test_56,4.2351504525584005e-09,0.0006604379741474986,1.6420340642753217e-09,0.9993395209312439
Test_57,0.9925935864448547,0.0001346758654108271,5.4847645515110344e-05,0.007216844707727432
Test_58,2.2742998595504105e-09,0.00027391588082537055,1.0311600107115737e-07,0.9997259974479675
Test_59,1.3276498975756112e-06,0.0007708719931542873,0.9980321526527405,0.001195681281387806
Test_60,1.4978195073123146e-10,0.00015155812434386462,5.2366790903590754e-09,0.9998483657836914
Test_61,0.9999371767044067,6.4031523834273685e-06,1.7421257325622719e-06,5.463252091431059e-05
Test_62,3.5673728859819676e-08,0.00010261569696012884,2.0703106429209583e-07,0.9998971223831177
Test_63,2.048938586085569e-05,0.513736367225647,5.25802579431911e-06,0.48623788356781006
Test_64,0.9301685690879822,4.7432164137717336e-05,0.0003167969698552042,0.0694672092795372
Test_65,4.3516533310139494e-07,3.920351900887908e-06,0.9999955892562866,2.4368531637009028e-09
Test_66,0.9997697472572327,1.4584739460588025e-07,0.00022732364595867693,2.8691626994259423e-06
Test_67,3.694519276148606e-15,4.830591482374302e-10,1.0,1.9596723549453188e-11
Test_68,4.6367601425068017e-10,0.08357145637273788,1.069842969769752e-08,0.9164286255836487
Test_69,4.8363253641681495e-14,6.195535195985258e-09,1.0,1.1549773724223167e-12
Test_70,2.2378339963324834e-06,0.0026215973775833845,1.416706436430104e-05,0.997361958026886
Test_71,7.060720719209712e-08,3.8933345081204607e-07,0.9999995231628418,1.1476719574687877e-10
Test_72,8.014579861992388e-07,0.0015016902470961213,6.715464451190201e-07,0.9984967708587646
Test_73,0.999998927116394,1.372201374749693e-08,1.8403186174964503e-07,9.441928341402672e-07
Test_74,0.7824852466583252,0.0068336911499500275,0.00969975721091032,0.2009812891483307
Test_75,0.009955355897545815,0.002537087071686983,0.9460817575454712,0.04142570123076439
Test_76,0.5113356709480286,0.022813554853200912,0.0005259207100607455,0.46532487869262695
Test_77,3.178011631632671e-09,0.0001074787724064663,0.9998921155929565,2.980874285185564e-07
Test_78,2.4814701760078606e-07,0.7363147139549255,7.206008012872189e-05,0.2636130154132843
Test_79,0.002795318141579628,0.0003287693834863603,9.512144606560469e-05,0.9967807531356812
Test_80,4.57193408465173e-07,0.0035760963801294565,0.9946532249450684,0.0017701019532978535
Test_81,1.770505342335582e-08,0.00038333292468450963,0.9995757937431335,4.09055755881127e-05
Test_82,6.902489531057654e-07,0.0017697644652798772,0.8207369446754456,0.17749249935150146
Test_83,1.072764446718999e-10,2.361214683332946e-05,0.9999754428863525,9.901657449518098e-07
Test_84,3.253276814607631e-11,5.8788747203664116e-09,8.506256463092221e-12,1.0
Test_85,1.434697765034798e-06,0.00044070175499655306,1.0349460808356525e-06,0.9995567202568054
Test_86,2.1358674473503925e-07,6.766954902559519e-05,0.9999290704727173,3.0686805985169485e-06
Test_87,0.20587508380413055,6.707577995257452e-05,0.0074092852883040905,0.7866485714912415
Test_88,0.0001743724278640002,0.1402822732925415,5.4899817769182846e-05,0.8594884276390076
Test_89,0.9509034752845764,0.00042733046575449407,0.00010478548210812733,0.048564374446868896
Test_90,6.688719890457495e-12,6.096960447621314e-08,0.9999998807907104,3.784118574046147e-10
Test_91,0.9999809265136719,8.850458499409797e-08,2.331540542854782e-07,1.869107290985994e-05
Test_92,0.9993083477020264,6.460050371970283e-06,1.2884036095783813e-06,0.0006839525303803384
Test_93,7.413206333517497e-12,4.0179237714710325e-09,1.0,1.3025728932969383e-11
Test_94,4.18004270086314e-10,1.7829187299867044e-06,7.3484467399964615e-09,0.9999982118606567
Test_95,0.9998214840888977,2.8487185772974044e-05,0.00014878764341119677,1.2519404890554142e-06
Test_96,3.5402333842249334e-11,1.2792306103293072e-09,6.774497851580463e-09,1.0
Test_97,0.9890262484550476,7.673281652387232e-05,1.4276173487814958e-06,0.01089560054242611
Test_98,1.6277574104606174e-05,0.12337054312229156,0.019856825470924377,0.8567562699317932
Test_99,0.003725436283275485,0.00014786934480071068,0.016496742144227028,0.9796299934387207
Test_100,1.0088120339091233e-09,1.875426823971793e-05,7.814371372205642e-10,0.9999812841415405
Test_101,0.015558195300400257,3.2999780614773044e-06,6.255952030187473e-05,0.9843759536743164
Test_102,1.3304334345320967e-07,2.3070981114869937e-05,3.9513651017841767e-07,0.999976396560669
Test_103,0.004404962528496981,0.8064194321632385,0.08265108615159988,0.10652446001768112
Test_104,6.422105069958661e-09,0.0006885571638122201,1.4133544112837626e-08,0.9993114471435547
Test_105,6.078354886085435e-08,6.095011713114218e-07,6.711386646429673e-08,0.9999991655349731
Test_106,0.9999817609786987,1.1446468306530733e-06,1.889441136881942e-07,1.685583993094042e-05
Test_107,7.623069677720196e-07,0.0005933762877248228,0.9863680005073547,0.013037800788879395
Test_108,2.7761782916968514e-07,0.0024923935998231173,1.0113180337611993e-07,0.9975072741508484
Test_109,0.6600727438926697,0.0006028318894095719,0.3372674882411957,0.0020568999461829662
Test_110,0.9978733062744141,4.441761575435521e-06,5.541728114621947e-06,0.002116807270795107
Test_111,0.8520174026489258,0.012653247453272343,0.000856377650052309,0.13447290658950806
Test_112,6.0955507308335655e-09,7.036766419332707e-06,0.9999923706054688,5.412464929577254e-07
Test_113,0.00014930097677279264,0.323649525642395,0.0001844392972998321,0.6760166883468628
Test_114,9.50636973584551e-08,0.9834526181221008,0.00023204034368973225,0.016315199434757233
Test_115,2.953657457505088e-11,1.810043004368822e-09,1.0,1.3881833182960435e-10
Test_116,6.802742427680641e-05,0.002779843285679817,0.8441336154937744,0.1530185341835022
Test_117,1.2789191927708998e-08,0.034333426505327225,0.9656664133071899,1.4596658104437665e-07
Test_118,1.1216174541066867e-17,3.1014917196980907e-12,1.0,2.859304767849108e-16
Test_119,0.9985431432723999,0.0003335597866680473,0.00012591062113642693,0.0009973819833248854
Test_120,1.4873303977314123e-10,4.9717549188699195e-08,1.0,7.985415884093072e-09
